م,اسم شركة القطاع الخاص في المملكة بالعربي ,اسم شركة القطاع الخاص في المملكة بالإنجليزي
2494,شركة باي شيب للاتصالات وتقنية المعلومات المحدودة,PIESHIP HOLDINGS LIMITED
2495,شركة ارابوت السعودية لتقنية المعلومات ,Arabot Company LTD
2496,شركة ثلاث مائة وستون ميا لتقنية المعلومات,thlath maea weston miya for information technology
2497,شركة سجا المتطورة للاتصالات وتقنية المعلومات,Saga for Language Technology
2498,شركة مظلة عطار للتسويق الالكتروني,Madhla Attar Digital Marketing Company 
2499,شركة سويبلي للاتصالات وتقنية المعلومات,Sweeply for Communications and Information Technology
2500,شركة وي ديلفر تيك العربية لتقنية المعلومات,WEDELIVERTECH INC.
2501,شركة حلت الابتكارية لتقنية المعلومات ,hollat for information technology
2502,شركة نفعة الصحية التجارية (شخص واحد),Nafaa Health Trading Company (Sole  Propietorship)
2503,شركة المزارع الخصبة للزراعة,Mazara Al-Khosba For Agriculture Company
2504,شركة اخطبوط انك العربية للتقنية المعلومات,Akhtaboot INC
2505,شركة عتاد الرقمية للخدمات الفنية المساندة,Atad Digital Company for Technical Support Services
2506,شركة الإعلانات المبتكرة ,innovation advertising company - convertedin
2507,شركة اومت العالمية لتقنية المعلومات ,Aumet INC
2508,شركة أمواج الابداع الإدارية المحدودة,Amwaj Alibdaa Aledariah Co Ltd
2509,شركة سوربت العالمية المحدودة ,sorbet holding limited
2510,شركة الرهن الحديث للوساطة  الرقمية ,Modern Mortgage For Digital Brokerage
2511,ايه تي كيرني السعودية المحدودة,A.T.Kearney Saudi Limited
2512,شركة فرانكلين تمبلتون المالية,Franklin Templeton Financial Company
2513,شركة عبر للمقاولات,ABR Contracting
2514,شركة أبو حيمد وآل الشيخ والحقباني وكليفورد تشانس للمحاماة,AS&H CLIFFORD CHANCE
2515,شركة بيت الكهرباء للتجارة شركة شخص واحد ذات مسؤولية محدودة,Electric House Trading Company one person co.LLC
2516,مستشفى الرعاية التخصصية المزمنة الطبية,Chronic Care Specialized Medical Hospital
2517,شركة فيصل بن عبد الله بن سعيدان للاستثمار والتطوير العقاري,Faisal Bin Abdullah Binsaedan For Real Estate Dev & Inv
2518,شركة الرياض العالمية للأغذية,Riyadh International Catering Corporation
2519,شركة مورف,MAWREF Logistics Solution
2520,شركة اساد الحلول وادارة الموارد البشرية شركة مساهمة مقفلة,Esad Human Resources Solutions and Management Company is a closed joint stock company
2521,شركة تجارة وتطوير المعدات والآلات والتجهيزات المحدودة رضا,Trading and Development CO. For Machinery and Equipment LTD. REDA
2522,شركة كدانة للتنمية والتطوير,Kidana Development Company
2523,شركة أفق البنية التحتية للمقاولات,Infrastructure Horizon Co. for Contracting
2524,شركة محمد البرغش المنصوري وأولاده للتجارة والمقاولات,Mohammed Al Barghash Al Mansouri & Sons
2525,شركة سيكا العربية السعودية المحدودة ذات مسؤولية محدودة,Sika Saudi Arabia Limited
2526,شركة اكزونوبل العربية السعودية المحدودة,AkzoNobel Saudi Arabia Ltd
2527,شركة الخدمات التكاملية للاستشارات الهندسية,Integrated Services Engineering Consulting Co
2528,شركة تطوير الألعاب الالكترونية شركة شخص واحد,Electronic games development company one person company
2529,شركة مراي العربية الدولية المحدودة,Mirai Arabian International Company Limited
2530,شركة أر ابتك جردانة وشركائه للاستشارات الهندسية,Erabetc Jordana Osherka ill ascharat Handasia Mahnia
2531,شركة أعمال المجد للصناعة,Aamal Al-Majd For manufacturing
2532,شركة العيسائي للتوزيع ذات مسؤولية محدودة,Al-esayi Distribution Company Limited Liability
2533,عبد اللطيف جميل للزيوت المحدودة,Abdul Latif Jameel for Oils Co.Ltd
2534,شركة الأفق الاخضر للاستثمار,G enviro investment co
2535,الشركة السعودية العالميه للتجاره المحدوده,Saudi International Trading Company Limited
2536,شركة أجا للصناعات الدوائية,AJA Pharmaceutical Industries Company
2537,شركة نالكو السعودية المحدودة,NALCO SAUDI CO LTD
2538,شركة المحمل لخدمات المرافق,Almahmal Facilities Services Company
2539,الشركة العربية للاستثمار الزراعي والصناعي,Arabian Company for Agricultural and Industrial Investment
2540,شركة الموسى الصحية,Almoosa Health Company
2541,شركة تمكين للموارد البشرية,Tamkeen Human Resources Company
2542,شركة الماجد للعود,Almajed for Oud Company
2543,شركة مجموعة التيسير تالكو الصناعية,Al Taiseer Group TALCO Industrial Company
2544,شركة المطاحن الحديثة للمنتجات الغذائية,Modern Mills Company
2545,شركة الشرق الأوسط للصناعات الدوائية,Middle East Pharmaceutical Industries Company
2546,سدم التقنية لتقنية المعلومات,"“SDM Tech”
Information Technology"
2547,شركة تطبيق عقار التجارية,Company TUTBUIG AQAR Commercial
2548,شركة كور فيجن للاستثمار,Core vision investment 
2549,شركة تكامل لخدمات الاعمال,Takamol for Business Services
2550,شركة مجموعة زيد الحسين وإخوانه للمقاولات,Zaid Alhussain & Brothers Group Company
2551,شركة مهن للموارد البشرية,Mahan Human Resources
2552,شركة البواني بايب لاين,Company Albawani Pipeline
2553,شركة هاي جروب العربية السعودية المحدودة,HAY GROUP SAUDI ARABIA LIMITED COMPANY
2554,شركة كورنينق العربية السعودية المحدودة,Corning Saudi Arabia Limited
2555,شركة عبر الوديعة للنقليات,Abr Al-Wadea For Transfortation co.
2556,عبد اللطيف جميل للتقنية المحدودة,Abdul Latif Jameel Tec
2557,شركة اليغانسيا العربية للتجارة,Elegancia arabia trading company
2558,مدد الاعمال لتقنية نظم المعلومات,Mudad Business for Information System Technology
2559,شركة الاستدامة القابضة,AL ISTEDAMAH HOLDING
2560,شركة بي آر أف العربية القابضة,BRF Arabia Holding
2561,شركة سولدير قرطبة,Solidere Qortuba company
2562,شركة سراكو شركة شخص واحد,Sraco Company
2563,الشركة السعودية للصناعات الميكانيكية مساهمة مقفلة,Saudi Mechanical Industries Co.
2564,شركة الجهات للتجارة والمقاولات,AL-JEHAT COMPANY FOR TRADING& CONTRACTING
2565,شركة إم بي سي قيم ستديو المحدودة ,MBC GAME STUDIO LIMITED
2566,شركة إم بي سي استوديوز بروجيكتس السعودية المحدودة,MBC Studios Projects Saudi Limited Company
2567,شركة أرا الدوليه للانتاج الفني والدعايه والاعلان المحدوده,ARA International Production for Arts and Advertising
2568,شركة إم بي سي إنيشيتفز شركة شخص واحد ذات مسؤلية محدودة,MBC INITIATIVES LLC (KSA)
2569,شركة إم بي سي ميديا السعودية المحدودة شركة شخص واحد,MBC Media KSA LLC
2570,شركة شبكة العربية الاعلامية شركة شخص واحد,Al Arabiya Media Network Company
2571,شركة أو ثري ميديا للإنتاج الفني,O3 Media Production
2572,شركة الصدف للإنتاج الصوتي والمرئي المحدودة,Al Sadaf Establishment for Audio Visual Production
2573,مجموعة ارا الدوليه القابضه,ARA INTERNATIONAL HOLDING GROUP
2574,شركة أسمو المتطورة للخدمات اللوجستية,Advanced ASMO for Logistics Services
2575,شركة رضا لمعالجة المياه,REDA Water Treatment Company
2576,شركة سباركو تكنولجيز العربية المحدودة,"Sparkoo TECHNOLOGIES ARABIA CO., LTD."
2577,شركة الجمال لمستحضرات التجميل العالمية المحدودة,ALJAMAL INTERNATIONAL BEAUTY COMPANY
2578,شركة سيفا المجدوعي اللوجستية,Ceva Al Majdouie Logitics
2579,شركة التنمية الزراعية المحدودة,Agriculture Development Company-LTD
2580,شركة ايجاري المالية,Ejari Financial Co
2581,شركة ملاءة لتقنية المعلومات,Malaa information technology
2582,شركة تداوي الطبية ,Tadawi Medical Complex
2583,شركة عوض سعد بنظفرة للمقاولات شركة شخص واحد,AWAD SAAD BINZAFRAH CONTRACTING CO.LTD
2584,شركة لمار العربية القابضة,Lamar Arabia Holding Company
2585,شركة فلور العربية المحدودة,Flour Arabia Limited 
2586,شركة سقالة الرعاية الصحية ,Cigalah Healthcare Company
2587,شركة تقنيات زيت وغاز المحدودة,Gas and Oil Technologies LLC
2588,شركة الفارابي للتسويق,Farabi Marketing Company
2589,شركة إتحاد الخليج للأغذية ,GULF UNION FOOD COMPANY
2590,شركة خدمات منع التاكل ان دي تي,NDT and Corrosion Control Services co
2591,شركة مجموعة الراجحي السعودية,Alrajhi Saudi Group Co
2592,شركة انشاءات التقنية المتحدة للمقاولات,United Technology for Construction Company
2593,شركة سيكلي السعودية,Saudi Sicli Company
2594,شركة الجيل الحديث العربية لنظم العمليات المحدودة,New Generation Mission Systems Arabia
2595,شركة بعد أول السعودية للاتصالات,Beyond One Saudi for Telecommunication LLC
2596,الشركة العليا السعودية لأنظمة الحاسب الآلي,Saudi Paramount Computer Systems
2597,شركة مجموعة سيب العربية للأجهزة المنزلية,Groupe SEB Arabia for Home Appliances Company
2598,الشركة العربية للمعادن والكيماويات المحدودة,Arabian Minerals and Chemicals Company Limited
2599,شركة مايا للتطوير والاستثمار العقاري,MAYA Real Estate Development &Investment CO
2600,شركة العراب الوطنية لتقنية المعلومات,AL- Arrab -Wataniyyah For Informatin technologe
2601,بي إي إس إف السعودية العربية المحدودة ,BASF Saudi arabia LTD company
2602,شركة طرود لتقنية المعلومات,Torod For Information Technology Company
2603,شركة هيلو للتسويق,Company Hilo for Marketing (one partner)
2604,عاجل الحلول,Ajil alhulul
2605,شركة بلاديس العربية للصناعات الغذائية,pladis Arabia Food Maunfacturing company
2606,شركة الصناعات المتخصصه للسبك المحدودة,Specialized Industrial Casting Company 
2607,شركة الهيتم للتصنيع والتنمية الاقتصاديه,alhaitam for industries and economic development
2608,شركة البيوت الصينية للتجارة,Chinese houses For Trading
2609,شركة المشاريع المدنية والكهربائية للمقاولات المحدودة سبكو ,CIVIL & ELECTRICAL PROJECTS CONTRACTING CO.
2610,شركة نهلة الغذاء للتجارة,company nahla al-ghadda for trading
2611,شركة تمام للتمويل,Tamam Finance Company
2612,شركة رضايات المحدودة,Rezayat Company Limited
2613,شركة حلول أمن المعلومات ,Security Matterz
2614,شركة التيسير العربية مساهمة مقفلة,TAYSEER AL-ARBIA
2615,شركة فاروق ومأمون محمد سعيد تمر الصناعية القابضة ( قابضة),Farouk & Maamoun Mohamed Said Tamer Holding
2616,شركة العبيكان اس اي جي كومبيبلوك المحدودة,Sig Combibloc Obeikan Ltd
2617,شركة محلات عبدالصمد القرشي للعود والعنبر والعطور,"Abdul Samad Al Qurashi Company for Oud, Amber and perfumes "
2618,شركة ترانسميد ليميتد (شركة شخص واحد),Transmed Limited
2619,شركة مجموعة شلهوب العربية المحدودة,Chalhoub Group Arabia Limited Company
2620,شركة رضوى التجارية,Radwa Trading Company
2621,شركة نباتات للمقاولات,Nabatat Contracting Company
2622,شركة شنايدر اليكتريك العربية السعودية,Schneider Electric Saudi Arabia Co
2623,شركة القحطاني لصناعات تغليف الانابيب,Al Qahtani Pipe Coating Industries
2624,الشركة العالمية للصناعات البحرية,International Maritime Industries
2625,شركة السويدي للكابلات المحدوده,Elsewedy Cables Company Ltd
2626,شركة الاسطول الوطنية لتأجير السيارات,National Fleet Car Rental Company
2627,شركة راما التخصصية للصناعة,Rama specialized industry company
2628,شركة ثمانية لتقديم الوجبات, Thamaniya Company for Meal Catering
2629,المعامل البرمجية لتقنية المعلومات,ENVNT
2630,شركة المطاعم الأهلية شركة شخص واحد,Al-Ahlia Restaurants Co.
2631,شركة إسماعيل علي أبو داود التجارية المحدودة,Ismail Ali Abudawood Trading Company
2632,الشركة الحديثة للاستثمارات التجارية والصناعية,Modern Investment Company For Trade and Industries
2633,شركة بيرين شركة مساهمة مقفلة,Berain Company Closed Joint Stock Company
2634,شركة المزن الوطنية للأدوات المنزلية المحدودة,Al Mozon National Company For Home Appliances
2635,شركة ماس الهندسة والانشاء,MAS Engineering and Construction LLC
2636,شركة وادي الظهران للتقنية القابضة,Dhahran Techno Valley Holding Company
2637,مؤسسة ماجد محمد خليفة المحمادي للمقاولات العامة,Majed Mohammad khalifa Al Mehmadi EST
2638,شركة جنان العقارية,Jenan Real Estate Company
2639,شركة المسافر للسفر والسياحة مساهمة مقفلة,Almosafer Travel & Tourism.co
2640,شركة المسافر العالمية للسفر والسياحة,Almosafer International Travel & Tourism
2641,شركة أم أم جروب للتجارة,MM Group Trading Company
2642,تي-كيه اليفيتور العربية السعودية المحدودة,TK-Elevator Saudi Arabia Ltd
2643,شركة عبداللطيف جميل للاستيراد والتوزيع المحدودة,Abdul Latif Jameel Import and Distribution Company Ltd
2644,شركة عبداللطيف جميل للبيع بالتجزئة المحدودة,Abdul Latif Jameel Retail Company Ltd
2645,شركة عبداللطيف جميل لبيع السيارات بالجملة المحدودة,Abdul Latif Jameel Automotive Wholesales Company LTD
2646,شركة الإستثمارات التعدينية المتحدة,United Mining Investments co.
2647,شركة كوارا للتمويل ,Quara Finance
2648,الشركة السعودية لصناعة المحركات,Saudi Engines Manufacturing Company (MAKEEN)
2649,شركة اروباكون السعودية شركة شخص واحد,Company ORBACON Saudi Arabia (One Partner)
2650,شركة رواد المشاريع للمقاولات,Projects Pioneers Contracting Co
2651,شركة مصانع الإيمان للمقاولات والتجاره المحدوده,Al-Iman factories co. for contracting & Trad.Ltd
2652,شركة أرماح الرياضية,Armah Sports Company
2653,شركة امازون السعودية للتجارة,Amazon Saudi Co.ltd
2654,شركة مقر سي اي ام سي الشرق الأوسط وشمال,CIMC SA Regioal office
2655, شركة مقر إف جي إس جلوبال الشرق الأوسط وشمال افريقيا الإقليمي,FGS Global Middle East and North Africa Regional Headquarter Company
2656,شركة سايت تكنولوجي العربية السعودية,Site Technology Co. Saudi Arabia
2657,الشركة المتقدمة للمقاولات العامة والصيانة المحدودة,Advanced Construction Company
2658,شركة رضايات التجارية المحدودة,Rezayat Trading Co. LTD
2659,شركة سنابل المتحدة للتجارة,Sanabel United Trading Company
2660,فرع مستشفى أندلسية الطبية ,Hospital Andalusia Medical
2661,شركة مصنع رابغ الصلب للصناعة,Rabigh Solb Industry Factory
2662,نوريون العربيه السعودية للكيماويات,Nouryon Saudi Arabia for Chemicals
2663, شرمة فيروفاكس ليمتد لتقنية المعلومات,Verofax Limited for information technology
2664,شركة الألوان البرمجية لتقنية المعلومات,software colors for information technology
2665,شركة بوسطة تكنولوجي,Bosta Technology
2666,فرع شركة سوربانا للإستشارات,Branch of Surbana Consultants
2667,شركة بيت هايل لمواد البناء,Bayt Hayel For Building Materials Company
2668,شركة مصنع جمجوم للصناعات الطبية المحدودة,Jamjoom Medical Industries Copmany LTD
2669,شركة البلاغة القابضة للأستثمار,Al-Balagha Holdong Company for Investment
2670,شركة السحيمي القابضة مساهمة مقفلة,Alsuhaimi Holding Company
2671,شركة الفوارس للاتصالات وتقنية المعلومات ,Knight Communication and Information Technology LLC 
2672,شركة ادارات للاتصالات وتقنية المعلومات,EDARAT Communications and information Technology Company
2673,شركة المثلث التقني الكامل,Total Technical Triangle Company
2674,غالدرما العربية,Galdrma Arabia LTD
2675,شركة شاينا ستيت كونستراكشن انجنيرينغ كوربوريشن ميدل ايست ذ م م,China State Consturction
2676,شركة دار  الهندسة للتصميم والاستشارات الفنية (شاعر ومشاركوه),(Dar Al-Handasah Consultants (Shair and Partners)
2677,شركة الخدمات الطبية والصيدلانية,Medical & Pharmaceutical Services
2678,شركة الفا فارما للصناعة,ALPHA PHARMA INDUSTRIAL COMPANY
2679,شركة اليسر للمقاولات الصناعية,ATYB
2680,شركة إيرام القابضة,Eram Holdings company
2681,الديار السعودية للإستشارات الهندسية,Saudi Diyar Con
2682,شركة النهلة للتجارة والمقاولات,al-nahla trading and contracting company
2683,شركة الوفاق لحلول النقل,Al-Wefaq Transportation Solutions Company
2684,فرع شركة سيجنا وورلد و ايد انشورنس,Cigna Worldwide Insurance Company Branch
2685,شركة الورود للإستثمار العقاري,Alworoud Real estate Company
2686,الشركة المتحدة للإستثمارات الصناعية,United Industrial Investments Company
2687,شركة الخريجي للتجارة والمقاولات ,ELKHEREIJI COMMERCE & CONTRACTING CO
2688,اي-ويب قروسر السعودية التجارية,i-web grocer Saudi commercial company
2689,شركة روافد اعمال التجارية ,Rawafid Commercial Company
2690,شركة السحب المتقدمة لتقنية المعلومات,AL-Saheb AL-Mutqadma for Information Technology
2691,شركة رواجح القابضة,RAWAJEH HOLDING .CO
2692,شركة تماسك القابضة ,Tamasuk Holding company
2693,الشركة السعودية للنظم الصحية,Saudi Medical Systems Company
2694,شركة السيل الشرقية المحدودة,Alsale Eastern LTD
2695,شركة خليج الدانة للسياحة,Dana Bay Tourism Company
2696,شركة البيوتانول السعودية المحدودة,Saudi Butanol Company Limited
2697,الشركة السعودية لمونمرات الاكريليك المحدودة,Saudi Acrylic Monomers Company Limited
2698,شركة مصنع أنظمة الالمنيوم الانشائي المحدودة,Aluminum Construction System
2699,شركة افاق الغذاء,Horizon Food
2700,شركة أبناء عبد الله حمود الشويعر للتجارة والمقاولات,Al Shuwayer Sons Trading and Contracting Company
2701,مصنع الشركة السعودية لحامض الاكريليك,Saudi Acrylic Acid Company Factory
2702,شركة خدمات الطاقة الذكية,Intelligent Energy Service co ltd
2703,شركة البوليمرات الاكريليكية السعودية,Saudi Acrylic Polymers Company
2704,الشركة السعودية للبولي اوليفينات,Saudi Polyolefins Company
2705,الشركة السعودية للإيثلين والبولي إيثيلين,Saudi Ethylene & Polyethylene Co
2706,شركة ابراهيم الجفالي واخوانه للاطارات ,Ibrahim Aljuffali and brothers tyres company
2707,شركة حلول المصاعد للاستثمار,Elevator Solutions Investment Company
2708,شركة ديل للتقنيات ,Dell Technologies S
2709,فرع شركة ساينو هايدرو كوربوريشن ليمتد,Branch of Sinohydro Corporation Limited
2710,شركة محولات الطاقة السعودية,Saudi Power Transformers Company
2711,الشركة العربية للتنمية والتسويق ,"Arabian Development & Marketing Co., Ltd"
2712,شركة الاصول الخليجية للتطوير والاستثمار التجاري,GCC Assets Development & Commercial Investment
2713,يونيفارما,UniPharma
2714,الشركة السعودية للخدمات البريدية واللوجستية (سبل),Saudi postal and Logistic Company
2715,الشركة السعودية للمأكولات الخفيفه,(SSFL) Saudi Snack Foods Company Limited
2716,شركة الريان للصيانة والتشغيل,Al-Rayan for Maintenance and operation
2717,شركة صيدليات العافية للادوية,Al Afia Pharmacy for Medicine
2718,شركه المستقبل لاقامة المستشفيات,Al Mustaqbal for Hospitals Development 
2719,مستشفى العظام والمفاصل والعمود الفقري,Bone Joint And Spine Hospital 
2720,شركة صحة عنيزة للرعاية الطبية ,Sehat Unaizah for Healthcare Company 
2721,شركة أنتاب الرياض للتشغيل والصيانة,Antab Al Riyadh for operation and maintenance
2722,مركز الملك فيصل للبحوث والدراسات الإسلامية,King Faisal Center for Research and Islamic Studies 
2723,شركة فطايرجي للمقاولات المحدودة,Fatayerji Contracting Company Ltd
2724,شركة الطور للخدمات الطبية,Altoor medical services company
2725,شركة البواني المحدودة,Al bawani Ltd
2726,شركة الرمز للعقارات,ALRAMZ REAL ESTATE CO.
2727,الشركة الوطنية لصناعة البطاريات المحدودة,National Batteries Company
2728,شركة تلدين للحلول البلاستيكية,Taldeen Plastic Solutions Company
2729,شركة الرواد الوطنيه للبلاستيك المحدوده ,Rowad National Plastic Co. Ltd
2730,الشركة الوطنية لصهر الرصاص المحدودة,National Lead Smelting Co. Ltd
2731,شركة شيفرون فيليبس السعودية,SAUDI CHEVRON PHILLIPS
2732,شركة اكرو السعودية,ACROW SAUDI
2733,شركة اسيستم و علي الحربي للاستشارات الهندسية,Assystem and Ali AlHarbi Engineering Consultancy Co.
2734,الشركة المتحدة للخدمات المالية,United Company for Financial Services
2735,ركة ابناء عبدالله التركي الضحيان للمقاولات,Abdullah AlTurki AlDhahyian Contracting Company
2736,شركة نستله العربية السعودية,Nestle Saudi Arabia Company
2737,شركة بيادر للاستثمار,Bayader Investments
2738,شركة ابيات السعودية لمواد البناء,Abyat Saudi For Building Materials
2739,شركة صحتي للخدمات المعلوماتية,Sehati for Information Technology Serviced
2740,شركة الأمين للتجهيزات الطبية والعلمية,Al Amin Medical Instruments Co. Ltd
2741,شركة كراون العربية للعلب المحدودة,CROWN Arabia Can Company
2742,الشركة الوطنية للصناعة,Alwatania for Industries Company
2743,شركة اقوات للصناعات الغذائية,Aquat Foods Industries
2744,مجموعة سعيد رداد القابضة,Saeed Raddad Holding Group
2745, شركة مقر مورجان ستانلي الشرق الأوسط الإقليمي,"Morgan Stanley MENA Regional HQ
"
2746,شركة مقر زووم الشرق الأوسط وشمال أفريقي,Zoom MENA RHQ
2747,شركة بلغ آند بلاي مينا ريجونال إتش كيو,Plug and Play
2748,شركة مقر جيزكي آند دفرينت الإقليمي,GieseckeDevrient Saudi Arabia Management LLC
2749,شركة فايل كلاود أرابيا,FILECLOUD ARABIA REGIONAL HQ
2750,شركة مقر فلاير الإقليمي ,"FLYR Inc
"
2751,"شركة مقر ستيك الإقليمي
","Stake Holding LTD
"
2752,شركة مقر فيغا اي تي الإقليمي,Vega IT doo Novi Sad
2753,شركة مقر تي جي ايه الإقليمي,TGA MENA RHQ Limited
2754,"	شركة مقر زوهو الإقليمي",Zoho Corporation Regional Head Quarter
2755,مقر برودكوم الإقليمي,Broadcom Regional Headquarters
2756,شركة مارا إنرجي,"Mara Energy Headquarter LLC
"
2757,شركة مان غروب,"MAN ENTERPRISE Regional Headquarter
"
2758," شركة مقر سافران العربية الإقليمي
",Safran Arabia RHQ
2759,شركة مقر ستيت ستريت الشرق الأوسط وشمال افريقيا الإقليمي,State Street MENA RHQ
2760,شركة مقر ريفربيد الشرق الأوسط وشمال افريقيا الإقليمي,Riverbed Middle East and North Africa Regional Headquarter
2761,مجموعة شركات ترايدمارك,Trademark Group of Companies Regional HQ
2762,شركة مقر أوري الثقافية الإقليمي,Ori culture RHQ
2763,شركة جينغدونغ,Jingdong Regional Headquarter
2764,شركة مقر أيبسون مينا الإقليمي,Epson MENA regional Headquarter
2765,شركة دي إتش إل غروب ريجونال هيدكوارترز,DHL RHQ
2766,مقر ام ال اي بلس في الشرق الاوسط وشمال افريقيا الإقليمي,MLA Plus MENA Regional HQ
2767,شركة مقر شنت الإقليمي,Chint Holding Regional Headquarter Co Ltd
2768,شركة مقر تراكسيز مينا الإقليمي,TRAXYS MENA LLC
2769,مقر لاب الإقليمي,LAPP ARABIA
2770,شركة مقر تيك ماهيندرا الإقليمي,Tech Mahindra Limited
2771,شركة مقر كونترول ريسكس الإقليمي,"Control Risks Regional Headquarters
"
2772,شركة مقر يلا جروب الإقليمي,"Yalla Group Limited
"
2773,شركة مقر باركليز الإقليمي,Barclays Saudi 
2774,شركة بي آي إل مينا ريجونال إتش كيو,PIL MENA REGIONAL HQ
2775,روز غلايسبا و سعودي أرابيا,Rose Gleisbau saudi arabia
2776,شركة وافي للطاقة,Wafi Energy Company
2777,الشركة الوطنية للانظمة الميكانيكية ,National Company for Mechanical Systems
2778,الشركة الدولية للصناعات الغذائية,International Food Industries Company
2779,شركة هادية عبداللطيف جميل للاستثمار العقاري,Hadia Abdul Latif Jameel Real Estate Investment Company
2780,الشركة السعودية للصناعات الصيدلانية,Saudi Pharmaceutical Industries Company - SPI
2781,شركة المجدوعي للسيارات المحدودة,Almajdouie Motors Company L.L.C
2782,شركة اف تي اي كونسلتينج لخدمات الأعمال,FTI Consulting For Business Services
2783,شركة النبع النقي للتجارة,ALNABA ALNAQI FOR TRADING
2784,شركة جينات الحياة الطبية,Genalive Medical Company
2785,شركة مونديليز العربية للتجارة,Mondelez Arabia for Trading Company
2786,شركة خدمات الدعم التكاملية الواعدة,BRIGHT INTEGRATED SUPPORT SERVICES
2787,الشركة الأهلية للصناعات الغذائية,National Food Company
2788,الشركة الوطنية الابتكارية الصناعية,Natinal Innovation Industrial Company
2789,شركة العناية الوطنية للتصنيع,National Care Manufacturing Company
2790,شركة اباريل للتجارة,Apparel Trading Company
2791,شركة توكيلات للتمويل,Tawkeelat Financing Company
2792,شركة الزاهد للتراكتورات والمعدات الثقيلة المحدودة,Zahid Tractor and Heavy Machinery Company Limited
2793,شركة الحمائد الطبية والتجارية,Company Alhamaed Altabia
2794,شركة الجدير للخدمات اللوجستية,Jadeer Logistics Services
2795,شركة مزارع فقيه للدواجن,Fakieh Poultry Farms Company
2796,شركة شيندلر  العليان للمصاعد المحدودة,Schindler Olayan Elevator Company
2797,شركة شينكر العربية السعودية المحدودة,Schenker Saudi Arabia LLC
2798,شركة الخير للتجارة المحدودة,Alkhair Trading Company
2799,شركة الوطنية للخدمات الجيومكانية,National Geospatial services Company
2800,شركة سيليكا للتجارة,Silica Trading LLC
2801,الشركة جياد الحديثة للسيارات,Jiad Modern Motors
2802,شركة بتروناش العربية المحدودة ,Batronash Arabia Company Limited
2803,شركة الملحم لخدمات السيارات,ALMULHIM AUTO SERVICES COMPANY
2804,شركة شيد المحدودة,SHADE Corporation ltd
2805,شركة إم بي سي ميديا سوليوشنز المحدود شركة شخص واحد ,MBC Media Solutions Limited ( a single shareholder limited liability company)
2806,شركة الزامل للصناعات الغذائية المحدوده,Zamil Food Industries Co
2807,شركة ايوان القابضة,Ewan Holding Company
2808,شركة تينار يس العربية السعودية المحدودة,TENARIS SAUDI ARABIA LIMITED
2809,شركة ريف العطور للتجارة,REEF PERFUMES CO
2810,شركة قصة للعطور,Gissah Company for Perfumes
2811,رزم للاستثمار,Company RAZAM For Investment
2812,مصنع الشركة الكيميائية الحديثة للخدمات,Modern Chemical Services Company Factory
2813,شركة الراجحي شركاء للاستثمار,AlRajhi Partners
2814,شركة إتحاد سلام المتنقلة للإتصالات,Etihad Salam Mobile Telecom Company
2815,شركة كولين انسات توريزم صناي في تيكارت اي اس,Kolin Insaat Turizm Sanayi Ve Ticaret A.S
2816,شركة المؤسسة الوطنية للتسويق المحدودة,National Marketing Establishment Company Ltd
2817,شركة عصام قباني وشركاه لمواد الإنشاء والتعمير المحدودة,ISAM KABBANI & PARTNERS FOR BUILDING AND CONSTRUCTION MATERIALS CO. LTD
2818,بيكر هيوز العربية السعودية,Baker Hughes Saudi Arabia co
2819,شركة وادي جدة,WADI JEDDAH COMPANY
2820,شركة محمد عبدالله شربتلي,Mohammed Abdullah Sharbatly Co.
2821,شركة بن زقر يونيليفر للتوزيع المحدودة,BINZAGR UNILEVER DISTRIBUTION COMPANY LIMITED
2822,شركة ماكس ستريتشر السعودية العربية للمقاولات,Max Stretcher Saudi Arabia Contracting Company
2823,شركة تجوري ,TEJOURY - CJSC
2824,شركة حمود منصور الكثيري المحدودة,Hamoud Mansour Al Kathiri Company Limited
2825,شركة المنسوجات والملابس الجاهزة المحدودة,Twxtile and Garments Company Limited
2826,شركة مصاعد أوتيس العربية السعودية المحدودة,Otis Elevator Company Saudi Arabia Ltd
2827,ادفيرس العربية السعودية,adverse saudia arabia
2828,شركة الاختيار العربي للرعاية الممتدة وإعادة التأهيل المحدودة,Arabic Selection for Longtermcare & Rehabilitation
2829,شركة برجيل للرعاية الصحية,Burjeel Medical Care Company
2830,شركة ان اس سي سي انترناشونال السعودية للمقاولات,NSCC International Saudi Contracting Company
2831,شركة علي العبدالله التميمي للتجارة والمقاولات,Ali A. Al-Tamimi Trading & Contracting Co
2832,الشركة السعودية للبوليمرات,Al Saudiyya Lil Polymarat Company
2833,الشركة العربية الماليزية لمنتجات الزيوت النباتية المحدودة,Alsharika Alarabia Almalizia Limuntajat Alzuyut Alnabatia Ltd. Company
2834,شركة ابراهيم محمد المانع واخوانه مساهمه مقفله,Ibrahim Mohammed AlMani Wa Ikhwanuh Musahimah Maqfalah Company
2835,شركة التموين الحديث للتجارة المحدودة,AlTamwin AlHadith LilTijara Ltd. Company
2836,شركة الجزيره للصناعات الدوائيه,Aljazeera lilsinaat alduwaiyah Company
2837,شركة الشرق الاوسط للرعايه الصحيه,al Sharq al Awsat lil Riayah al Sihhiyah Company
2838,شركة الشمس الوطنية العالمية للطاقة,alshams alwataniya alealamia For Energy Company
2839,شركة المأكولات السريعة,almakulat alsariea Company
